FECHA,PRECIPITACION,EMBALSE_NOMBRE
23-03-2015,8.4,Aldeadávila
24-03-2015,1.8,Aldeadávila
25-03-2015,0,Aldeadávila
26-03-2015,0,Aldeadávila
27-03-2015,0,Aldeadávila
28-03-2015,0,Aldeadávila
29-03-2015,0,Aldeadávila
30-03-2015,0,Aldeadávila
31-03-2015,0,Aldeadávila
01-04-2015,0,Aldeadávila
02-04-2015,0,Aldeadávila
03-04-2015,0,Aldeadávila
04-04-2015,0,Aldeadávila
05-04-2015,0,Aldeadávila
06-04-2015,0,Aldeadávila
07-04-2015,0,Aldeadávila
08-04-2015,3.2,Aldeadávila
09-04-2015,3,Aldeadávila
10-04-2015,4.6,Aldeadávila
11-04-2015,0,Aldeadávila
12-04-2015,0,Aldeadávila
13-04-2015,0,Aldeadávila
14-04-2015,0,Aldeadávila
15-04-2015,20.4,Aldeadávila
16-04-2015,0.2,Aldeadávila
17-04-2015,0,Aldeadávila
18-04-2015,2.8,Aldeadávila
19-04-2015,0,Aldeadávila
20-04-2015,0,Aldeadávila
21-04-2015,0,Aldeadávila
22-04-2015,0.8,Aldeadávila
23-04-2015,0,Aldeadávila
24-04-2015,2.4,Aldeadávila
25-04-2015,8.4,Aldeadávila
26-04-2015,6,Aldeadávila
27-04-2015,0,Aldeadávila
28-04-2015,0,Aldeadávila
29-04-2015,0,Aldeadávila
30-04-2015,0,Aldeadávila
01-05-2015,1,Aldeadávila
02-05-2015,0 ,Aldeadávila
03-05-2015,6,Aldeadávila
04-05-2015,4.6,Aldeadávila
05-05-2015,0.2,Aldeadávila
06-05-2015,0,Aldeadávila
07-05-2015,0,Aldeadávila
08-05-2015,0,Aldeadávila
09-05-2015,0,Aldeadávila
10-05-2015,0,Aldeadávila
11-05-2015,0,Aldeadávila
12-05-2015,0,Aldeadávila
13-05-2015,0,Aldeadávila
14-05-2015,0,Aldeadávila
15-05-2015,0,Aldeadávila
16-05-2015,0,Aldeadávila
17-05-2015,0,Aldeadávila
18-05-2015,0,Aldeadávila
19-05-2015,0,Aldeadávila
20-05-2015,0,Aldeadávila
21-05-2015,0,Aldeadávila
22-05-2015,0,Aldeadávila
23-05-2015,0,Aldeadávila
24-05-2015,0,Aldeadávila
25-05-2015,0,Aldeadávila
26-05-2015,0,Aldeadávila
27-05-2015,0,Aldeadávila
28-05-2015,0,Aldeadávila
29-05-2015,0,Aldeadávila
30-05-2015,0,Aldeadávila
31-05-2015,0,Aldeadávila
01-06-2015,0,Aldeadávila
02-06-2015,0,Aldeadávila
03-06-2015,0,Aldeadávila
04-06-2015,0,Aldeadávila
05-06-2015,0,Aldeadávila
06-06-2015,0.6,Aldeadávila
07-06-2015,7.4,Aldeadávila
08-06-2015,1.4,Aldeadávila
09-06-2015,0.4,Aldeadávila
10-06-2015,15.2,Aldeadávila
11-06-2015,0.2,Aldeadávila
12-06-2015,0,Aldeadávila
13-06-2015,1.2,Aldeadávila
14-06-2015,20,Aldeadávila
15-06-2015,0.2,Aldeadávila
